framework,file,model,prompt_id,exec_time,syntax_valid,syntax_error_msg,total_individuals,approx_triples,cls_tp,cls_fp,cls_fn,cls_precision,cls_recall,cls_f1,obj_tp,obj_fp,obj_fn,obj_precision,obj_recall,obj_f1,data_tp,data_fp,data_fn,data_precision,data_recall,data_f1,macro_precision,macro_recall,macro_f1,missing_concepts,missing_obj_props,missing_data_props,hallucinated_classes,duplicate_subjects,undefined_refs,onto_classes_found,extra_classes,used_obj_props,used_data_props
CrewAI,game-builder-crew_instances.ttl,chatgpt,P0,137.7,True,,57,257,10,1,0,0.9091,1.0,0.9524,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,0.9697,0.9667,0.9666,,hasTeamGoal,,Context,,,Config; EndStep; Environment; Goal; KnowledgeBase; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,Context,agentPrompt; agentResourceUsage; containsResource; contributesToGoal; contributesToObjective; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasEnvironmentConfig; hasKnowledge; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,job-posting_instances.ttl,chatgpt,P0,90.19,False,"at line 146 of <>:
Bad syntax (expected '.' or '}' or ']' at end of statement) at ^ in:
""...b'\n# Tools\n#################################################\n\n'^b':WebsiteSearchTool rdf:type :Tool ;\n ",18,88,5,0,5,1.0,0.5,0.6667,6,0,4,1.0,0.6,0.75,4,0,3,1.0,0.5714,0.7273,1.0,0.5571,0.7147,Prompt; Task; Tool; WorkflowPattern; WorkflowStep,hasWorkflowStep; nextStep; performedByAgent; taskPrompt,promptInstruction; promptOutputIndicator; stepOrder,,,,Config; Goal; LLMAgent; LanguageModel; Team,,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasSystemConfig; hasTeamGoal; hasWorkflowPattern; useLanguageModel,agentID; agentRole; configKey; configValue
CrewAI,prep-for-a-meeting_instances.ttl,chatgpt,P0,77.4,True,,44,219,9,1,1,0.9,0.9,0.9,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,0.9667,0.9333,0.9491,LanguageModel,useLanguageModel,,Context,,,Capability; Config; EndStep; Goal; LLMAgent; Objective; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,Context,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasCapability; hasConfig; hasObjective; hasSystemConfig; hasTeamGoal; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; relatedStep; requiresCapability; taskPrompt,agentID; agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,recruitment_instances.ttl,chatgpt,P0,102.86,True,,38,198,9,1,1,0.9,0.9,0.9,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,0.9667,0.9333,0.9491,Goal,hasTeamGoal,,Context,,,Config; KnowledgeBase; LLMAgent; LanguageModel; Objective; Prompt; Task; Team; Tool; WorkflowPattern; WorkflowStep,Context,agentPrompt; agentResourceUsage; agentToolUsage; hasAgentConfig; hasAgentMember; hasAssociatedTask; hasGoal; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; relatedStep; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,starter_template_instances.ttl,chatgpt,P0,78.59,True,,23,144,8,0,1,1.0,0.8889,0.9412,8,0,2,1.0,0.8,0.8889,7,0,0,1.0,1.0,1.0,1.0,0.8963,0.9434,WorkflowStep,agentPrompt; hasTeamGoal,,,,,Config; EndStep; Goal; Instance; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern,,agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,game-builder-crew_instances.ttl,claude,P0,39.34,True,,29,139,9,0,1,1.0,0.9,0.9474,9,0,1,1.0,0.9,0.9474,7,0,0,1.0,1.0,1.0,1.0,0.9333,0.9649,Tool,hasTeamGoal,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Objective; Prompt; StartStep; Task; Team; WorkflowPattern; WorkflowStep,,agentPrompt; contributesToObjective; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasObjective; hasSystemConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,industry-agents_instances.ttl,claude,P0,19.25,True,,0,125,10,0,0,1.0,1.0,1.0,8,0,2,1.0,0.8,0.8889,6,0,1,1.0,0.8571,0.9231,1.0,0.8857,0.9373,,agentPrompt; hasTeamGoal,agentID,,,,Config; EndStep; Goal; KnowledgeBase; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; requiresResource; resourceUsage; taskPrompt; useLanguageModel,agentRole; configKey; configValue; promptInputData; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,industry-agents_instances.ttl,gemini,P0,13.7,True,,26,135,10,0,0,1.0,1.0,1.0,8,0,2,1.0,0.8,0.8889,7,0,0,1.0,1.0,1.0,1.0,0.9333,0.963,,agentPrompt; hasTeamGoal,,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInstruction; promptOutputIndicator; stepOrder
CrewAI,instagram_post_instances.ttl,gemini,P0,20.53,True,,46,199,10,0,0,1.0,1.0,1.0,9,0,1,1.0,0.9,0.9474,6,0,1,1.0,0.8571,0.9231,1.0,0.919,0.9568,,hasTeamGoal,promptOutputIndicator,,,,Config; EndStep; Goal; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentConfig; hasAgentGoal; hasAgentMember; hasAssociatedTask; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptInstruction; stepOrder
CrewAI,job-posting_instances.ttl,gemini,P0,16.17,True,,33,146,9,0,1,1.0,0.9,0.9474,8,0,2,1.0,0.8,0.8889,7,0,0,1.0,1.0,1.0,1.0,0.9,0.9454,Goal,hasAgentConfig; hasTeamGoal,,,,,Config; EndStep; LLMAgent; LanguageModel; Prompt; StartStep; Task; Team; Tool; WorkflowPattern; WorkflowStep,,agentPrompt; agentToolUsage; hasAgentMember; hasAssociatedTask; hasSystemConfig; hasToolConfig; hasWorkflowPattern; hasWorkflowStep; nextStep; performedByAgent; producedResource; requiresResource; taskPrompt; useLanguageModel,agentID; agentRole; configKey; configValue; promptContext; promptInstruction; promptOutputIndicator; stepOrder
